,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96
ABSP,998.85302734375,998.8521118164062,998.8869018554688,998.8712158203125,998.871826171875,998.8844604492188,998.846435546875,998.8565673828125,998.871826171875,998.84326171875,998.8646850585938,998.8850708007812,998.846435546875,998.8427124023438,998.8768310546875,998.8815307617188,998.8890991210938,998.8577270507812,998.8634033203125,998.8505249023438,998.847412109375,998.847412109375,998.8778686523438,998.8446044921875,998.8681030273438,998.8499145507812,998.871826171875,998.8611450195312,998.8517456054688,998.8439331054688,998.889404296875,998.857421875,998.8448486328125,998.8466796875,998.882568359375,998.8756103515625,998.8571166992188,998.8442993164062,998.8624267578125,998.8690185546875,998.8561401367188,998.8592529296875,998.889404296875,998.8853759765625,998.8822631835938,998.8630981445312,998.8831787109375,998.8681030273438,998.854248046875,998.868408203125,998.8630981445312,998.8665161132812,998.8831787109375,998.8743286132812,998.8439331054688,998.8461303710938,998.846435546875,998.8734130859375,998.847412109375,998.8753051757812,998.8527221679688,998.8642578125,998.8483276367188,998.8856811523438,998.8815307617188,998.8646850585938,998.8677978515625,998.88818359375,998.8690185546875,998.8797607421875,998.8897705078125,998.8818359375,998.8781127929688,998.872802734375,998.8536376953125,998.854248046875,998.8869018554688,998.87255859375,998.87841796875,998.8514404296875,998.8634033203125,998.8677978515625,998.864990234375,998.8828735351562,998.8884887695312,998.8797607421875,998.858642578125,998.8850708007812,998.8455200195312,998.8756103515625,998.8778686523438,998.8615112304688,998.8524169921875,998.8844604492188,998.8862915039062,998.8790893554688,998.8837890625
Yaw,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358
Pitch,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Roll,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Altitude,0.0196850394,0.0787401576,0.0754593177,0.0754593177,0.0754593177,0.08202099750000001,0.08202099750000001,0.0754593177,0.0754593177,0.0754593177,0.0164041995,0.0164041995,0.0164041995,0.0164041995,0.0164041995,0.0492125985,0.0492125985,0.09186351720000001,0.09186351720000001,0.09186351720000001,0.1410761157,0.1410761157,0.17716535460000002,0.17716535460000002,0.17716535460000002,0.2132545935,0.2132545935,0.2362204728,0.2362204728,0.2362204728,0.2460629925,0.2460629925,0.262467192,0.262467192,0.262467192,0.2657480319,0.2657480319,0.2755905516,0.2755905516,0.2755905516,0.2788713915,0.2788713915,0.2788713915,0.2788713915,0.2788713915,0.2919947511,0.2919947511,0.2919947511,0.3083989506,0.3083989506,0.3346456698,0.3346456698,0.3346456698,0.3510498693,0.3510498693,0.35761154910000004,0.35761154910000004,0.35761154910000004,0.35433070920000004,0.35433070920000004,0.37729658850000003,0.37729658850000003,0.37729658850000003,0.3969816279,0.3969816279,0.4232283471,0.4232283471,0.4232283471,0.37401574860000003,0.37401574860000003,0.131233596,0.131233596,0.131233596,0.0164041995,0.0164041995,0.0164041995,-0.05577427830000001,-0.05577427830000001,-0.098425197,-0.098425197,-0.098425197,-0.131233596,-0.131233596,-0.1574803152,-0.1574803152,-0.1574803152,-0.196850394,-0.196850394,-0.22637795310000003,-0.22637795310000003,-0.22637795310000003,-0.2559055122,-0.2559055122,-0.2887139112,-0.2887139112,-0.2887139112,-0.32808399000000005
TAS,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284
GS,0.02763490006327629,0.027510959655046463,0.027750780805945396,0.027750780805945396,0.027750780805945396,0.02746574394404888,0.02746574394404888,0.02735000289976597,0.02735000289976597,0.02735000289976597,0.027439119294285774,0.027439119294285774,0.027590738609433174,0.027590738609433174,0.027590738609433174,0.027078399434685707,0.027078399434685707,0.027008697390556335,0.027008697390556335,0.027008697390556335,0.027285130694508553,0.027285130694508553,0.027522196993231773,0.027522196993231773,0.027522196993231773,0.027215659618377686,0.027215659618377686,0.027215279638767242,0.027215279638767242,0.027215279638767242,0.02740122377872467,0.02740122377872467,0.027630066499114037,0.027630066499114037,0.027630066499114037,0.027428491041064262,0.027428491041064262,0.02726367674767971,0.02726367674767971,0.02726367674767971,0.027356978505849838,0.027356978505849838,0.027356978505849838,0.027636125683784485,0.027636125683784485,0.02740880846977234,0.02740880846977234,0.02740880846977234,0.02725125662982464,0.02725125662982464,0.02738203853368759,0.02738203853368759,0.02738203853368759,0.027556098997592926,0.027556098997592926,0.027260612696409225,0.027260612696409225,0.027260612696409225,0.027028249576687813,0.027028249576687813,0.02726871334016323,0.02726871334016323,0.02726871334016323,0.027642961591482162,0.027642961591482162,0.02750077284872532,0.02750077284872532,0.02750077284872532,0.02755831740796566,0.02755831740796566,0.02755831740796566,0.027676386758685112,0.027676386758685112,0.02783205546438694,0.02783205546438694,0.02783205546438694,0.027516022324562073,0.027516022324562073,0.02740457095205784,0.02740457095205784,0.02740457095205784,0.027418140321969986,0.027418140321969986,0.027646759524941444,0.027646759524941444,0.027646759524941444,0.027424588799476624,0.027424588799476624,0.027294974774122238,0.027294974774122238,0.027294974774122238,0.027471471577882767,0.027471471577882767,0.02758350782096386,0.02758350782096386,0.02758350782096386,0.027259115129709244
Latitude,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821
Longitude,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479
Altitude_MSL,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430
Time,18:23:46,18:23:46,18:23:46,18:23:46,18:23:47,18:23:47,18:23:47,18:23:47,18:23:48,18:23:48,18:23:48,18:23:48,18:23:49,18:23:49,18:23:49,18:23:49,18:23:50,18:23:50,18:23:50,18:23:50,18:23:51,18:23:51,18:23:51,18:23:51,18:23:52,18:23:52,18:23:52,18:23:52,18:23:53,18:23:53,18:23:53,18:23:53,18:23:54,18:23:54,18:23:54,18:23:54,18:23:55,18:23:55,18:23:55,18:23:55,18:23:56,18:23:56,18:23:56,18:23:56,18:23:57,18:23:57,18:23:57,18:23:57,18:23:58,18:23:58,18:23:58,18:23:58,18:23:59,18:23:59,18:23:59,18:23:59,18:24:00,18:24:00,18:24:00,18:24:00,18:24:01,18:24:01,18:24:01,18:24:01,18:24:02,18:24:02,18:24:02,18:24:02,18:24:03,18:24:03,18:24:03,18:24:03,18:24:04,18:24:04,18:24:04,18:24:04,18:24:05,18:24:05,18:24:05,18:24:05,18:24:06,18:24:06,18:24:06,18:24:06,18:24:07,18:24:07,18:24:07,18:24:07,18:24:08,18:24:08,18:24:08,18:24:08,18:24:09,18:24:09,18:24:09,18:24:09,18:24:10
Start_Latitude,41.2637821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stop_Latitude,41.2637821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start_Longitude,28.7308479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stop_Longitude,28.7308479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordID_FL,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordID_LT,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordTag,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordDate,30/06/2022,"June 30, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
