,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92
ABSP,998.8634033203125,998.871826171875,998.87841796875,998.8809814453125,998.8539428710938,998.8797607421875,998.884765625,998.8681030273438,998.8577270507812,998.8656005859375,998.8674926757812,998.8505249023438,998.8442993164062,998.84521484375,998.8517456054688,998.8812866210938,998.8746948242188,998.86083984375,998.8580932617188,998.8533325195312,998.8662109375,998.8850708007812,998.8555297851562,998.8517456054688,998.8514404296875,998.8555297851562,998.8890991210938,998.864990234375,998.864013671875,998.8611450195312,998.8671875,998.8592529296875,998.8687133789062,998.8897705078125,998.8740234375,998.8834228515625,998.8834228515625,998.8539428710938,998.8693237304688,998.8878784179688,998.8794555664062,998.8677978515625,998.8436279296875,998.8746948242188,998.8568725585938,998.8439331054688,998.8696899414062,998.8721923828125,998.8589477539062,998.884765625,998.8571166992188,998.8621826171875,998.8856811523438,998.8458251953125,998.882568359375,998.87841796875,998.8818359375,998.84326171875,998.8818359375,998.884765625,998.876220703125,998.8461303710938,998.8446044921875,998.8517456054688,998.8815307617188,998.8771362304688,998.857421875,998.8693237304688,998.8756103515625,998.8721923828125,998.8856811523438,998.882568359375,998.8558349609375,998.8505249023438,998.8887939453125,998.8536376953125,998.8797607421875,998.8900756835938,998.8712158203125,998.8665161132812,998.8743286132812,998.8477172851562,998.864013671875,998.88818359375,998.8461303710938,998.864990234375,998.8803100585938,998.8696899414062,998.850830078125,998.8427124023438,998.8699951171875,998.8499145507812,998.8662109375
Yaw,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Pitch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Roll,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Altitude,-0.05577427830000001,-0.05577427830000001,-0.05577427830000001,-0.05577427830000001,-0.05577427830000001,-0.05577427830000001,-0.05577427830000001,-0.0393700788,-0.0393700788,-0.0393700788,-0.0393700788,-0.0393700788,-0.0393700788,-0.0393700788,-0.0393700788,-0.0098425197,-0.0098425197,-0.0098425197,-0.0098425197,-0.0098425197,-0.0098425197,-0.0098425197,-0.0098425197,0.022965879300000002,0.022965879300000002,0.022965879300000002,0.022965879300000002,0.022965879300000002,0.022965879300000002,0.022965879300000002,0.022965879300000002,0.0295275591,0.0295275591,0.0295275591,0.0295275591,0.0295275591,0.0295275591,0.0295275591,0.0295275591,0.0164041995,0.0164041995,0.0164041995,0.0164041995,0.0164041995,0.0164041995,0.0164041995,0.0164041995,0.0164041995,0.0164041995,0.0164041995,0.0164041995,0.0164041995,0.0164041995,0.0164041995,0.0164041995,0.0164041995,0.0262467192,0.0262467192,0.0262467192,0.0262467192,0.0262467192,0.0262467192,0.0262467192,0.0262467192,0.0262467192,0.0393700788,0.0393700788,0.0393700788,0.0393700788,0.0393700788,0.0393700788,0.0393700788,0.0393700788,0.0393700788,0.065616798,0.065616798,0.065616798,0.065616798,0.065616798,0.065616798,0.065616798,0.065616798,0.065616798,0.065616798,0.065616798,0.065616798,0.065616798,0.065616798,0.065616798,0.065616798,0.065616798,0.065616798,0.065616798
TAS,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284
GS,0.026957331225275993,0.026957331225275993,0.026957331225275993,0.026957331225275993,0.026957331225275993,0.026957331225275993,0.026957331225275993,0.027110520750284195,0.027110520750284195,0.027110520750284195,0.027110520750284195,0.027110520750284195,0.027110520750284195,0.027110520750284195,0.027110520750284195,0.02698325552046299,0.02698325552046299,0.02698325552046299,0.02698325552046299,0.02698325552046299,0.02698325552046299,0.02698325552046299,0.02698325552046299,0.026969172060489655,0.026969172060489655,0.026969172060489655,0.026969172060489655,0.026969172060489655,0.026969172060489655,0.026969172060489655,0.026969172060489655,0.02705882489681244,0.02705882489681244,0.02705882489681244,0.02705882489681244,0.02705882489681244,0.02705882489681244,0.02705882489681244,0.02705882489681244,0.027308890596032143,0.027308890596032143,0.027308890596032143,0.027308890596032143,0.027308890596032143,0.027308890596032143,0.027308890596032143,0.027308890596032143,0.027594055980443954,0.027594055980443954,0.027594055980443954,0.027594055980443954,0.027594055980443954,0.027594055980443954,0.027594055980443954,0.027594055980443954,0.027594055980443954,0.02727186121046543,0.02727186121046543,0.02727186121046543,0.02727186121046543,0.02727186121046543,0.02727186121046543,0.02727186121046543,0.02727186121046543,0.02727186121046543,0.02727373316884041,0.02727373316884041,0.02727373316884041,0.02727373316884041,0.02727373316884041,0.02727373316884041,0.02727373316884041,0.02727373316884041,0.02727373316884041,0.027466103434562683,0.027466103434562683,0.027466103434562683,0.027466103434562683,0.027466103434562683,0.027466103434562683,0.027466103434562683,0.027466103434562683,0.027421481907367706,0.027421481907367706,0.027421481907367706,0.027421481907367706,0.027421481907367706,0.027421481907367706,0.027421481907367706,0.027421481907367706,0.027421481907367706,0.027398450300097466,0.027398450300097466
Latitude,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821
Longitude,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479
Altitude_MSL,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430
Time,23:33:21,23:33:21,23:33:22,23:33:22,23:33:22,23:33:22,23:33:23,23:33:23,23:33:23,23:33:23,23:33:24,23:33:24,23:33:24,23:33:24,23:33:25,23:33:25,23:33:25,23:33:25,23:33:26,23:33:26,23:33:26,23:33:26,23:33:27,23:33:27,23:33:27,23:33:27,23:33:28,23:33:28,23:33:28,23:33:28,23:33:29,23:33:29,23:33:29,23:33:29,23:33:30,23:33:30,23:33:30,23:33:30,23:33:31,23:33:31,23:33:31,23:33:31,23:33:32,23:33:32,23:33:32,23:33:32,23:33:33,23:33:33,23:33:33,23:33:33,23:33:34,23:33:34,23:33:34,23:33:34,23:33:35,23:33:35,23:33:35,23:33:35,23:33:36,23:33:36,23:33:36,23:33:36,23:33:37,23:33:37,23:33:37,23:33:37,23:33:38,23:33:38,23:33:38,23:33:38,23:33:39,23:33:39,23:33:39,23:33:39,23:33:40,23:33:40,23:33:40,23:33:40,23:33:41,23:33:41,23:33:41,23:33:41,23:33:42,23:33:42,23:33:42,23:33:42,23:33:43,23:33:43,23:33:43,23:33:43,23:33:44,23:33:44,23:33:44
Start_Latitude,41.2637821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stop_Latitude,41.2637821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start_Longitude,28.7308479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stop_Longitude,28.7308479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordID_FL,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordID_LT,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordTag,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordDate,30/06/2022,"June 30, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
