,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82
ABSP,998.855224609375,998.8872680664062,998.8442993164062,998.88818359375,998.8887939453125,998.8897705078125,998.8715209960938,998.8890991210938,998.857421875,998.8875732421875,998.8865966796875,998.8505249023438,998.8734130859375,998.8731079101562,998.8637084960938,998.8740234375,998.8442993164062,998.8634033203125,998.8568725585938,998.8806762695312,998.8677978515625,998.87060546875,998.8658447265625,998.8642578125,998.8872680664062,998.871826171875,998.8471069335938,998.8630981445312,998.8442993164062,998.8627319335938,998.8565673828125,998.875,998.8812866210938,998.8837890625,998.85302734375,998.8809814453125,998.8840942382812,998.8589477539062,998.8565673828125,998.857421875,998.8493041992188,998.8533325195312,998.8662109375,998.8511352539062,998.8850708007812,998.8627319335938,998.8771362304688,998.8872680664062,998.8533325195312,998.84521484375,998.8803100585938,998.8862915039062,998.8599853515625,998.872802734375,998.8756103515625,998.8681030273438,998.8599853515625,998.8583984375,998.85302734375,998.8536376953125,998.8589477539062,998.854248046875,998.8595581054688,998.8595581054688,998.87255859375,998.8775634765625,998.8693237304688,998.8890991210938,998.8634033203125,998.8897705078125,998.8709106445312,998.854248046875,998.8505249023438,998.8831787109375,998.8734130859375,998.854248046875,998.849609375,998.8627319335938,998.8505249023438,998.855224609375,998.8890991210938,998.8850708007812,998.8737182617188
Yaw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pitch,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Roll,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Altitude,0.1049868768,0.1049868768,0.1049868768,0.1049868768,0.1049868768,0.1049868768,0.1049868768,0.1049868768,0.11482939650000001,0.11482939650000001,0.11482939650000001,0.11482939650000001,0.11482939650000001,0.11482939650000001,0.1509186354,0.1509186354,0.1509186354,0.1509186354,0.1509186354,0.1509186354,0.1509186354,0.1509186354,0.1509186354,0.1509186354,0.18372703440000002,0.18372703440000002,0.18372703440000002,0.18372703440000002,0.18372703440000002,0.18372703440000002,0.18372703440000002,0.2066929137,0.2066929137,0.2066929137,0.2066929137,0.2066929137,0.2066929137,0.2066929137,0.2066929137,0.2066929137,0.2066929137,0.2460629925,0.2460629925,0.2460629925,0.2460629925,0.2460629925,0.2460629925,0.2460629925,0.2460629925,0.2460629925,0.2854330713,0.2854330713,0.2854330713,0.2854330713,0.2854330713,0.2854330713,0.2854330713,0.2854330713,0.2854330713,0.32808399000000005,0.32808399000000005,0.32808399000000005,0.32808399000000005,0.32808399000000005,0.32808399000000005,0.32808399000000005,0.32808399000000005,0.32808399000000005,0.35761154910000004,0.35761154910000004,0.35761154910000004,0.35761154910000004,0.35761154910000004,0.35761154910000004,0.35761154910000004,0.35761154910000004,0.35761154910000004,0.35761154910000004,0.3838582683,0.3838582683,0.3838582683,0.3838582683,0.3838582683
TAS,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284
GS,0.019748296588659286,0.019748296588659286,0.019748296588659286,0.019748296588659286,0.019748296588659286,0.019748296588659286,0.019748296588659286,0.019748296588659286,0.019935674965381622,0.019935674965381622,0.019935674965381622,0.019935674965381622,0.019935674965381622,0.019935674965381622,0.019935674965381622,0.020079495385289192,0.020079495385289192,0.020079495385289192,0.020079495385289192,0.020079495385289192,0.020079495385289192,0.020079495385289192,0.020079495385289192,0.020079495385289192,0.020295249298214912,0.020295249298214912,0.020295249298214912,0.020295249298214912,0.020295249298214912,0.020295249298214912,0.020295249298214912,0.020583726465702057,0.020583726465702057,0.020583726465702057,0.020583726465702057,0.020583726465702057,0.020583726465702057,0.020583726465702057,0.020583726465702057,0.020583726465702057,0.020583726465702057,0.020565427839756012,0.020565427839756012,0.020565427839756012,0.020565427839756012,0.020565427839756012,0.020565427839756012,0.020565427839756012,0.020565427839756012,0.020565427839756012,0.020650802180171013,0.020650802180171013,0.020650802180171013,0.020650802180171013,0.020650802180171013,0.020650802180171013,0.020650802180171013,0.020650802180171013,0.020650802180171013,0.020858298987150192,0.020858298987150192,0.020858298987150192,0.020858298987150192,0.020858298987150192,0.020858298987150192,0.020858298987150192,0.020858298987150192,0.020858298987150192,0.0209638811647892,0.0209638811647892,0.0209638811647892,0.0209638811647892,0.0209638811647892,0.0209638811647892,0.0209638811647892,0.0209638811647892,0.0209638811647892,0.0209638811647892,0.02091546729207039,0.02091546729207039,0.02091546729207039,0.02091546729207039,0.02091546729207039
Latitude,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821
Longitude,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479
Altitude_MSL,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430
Time,23:55:41,23:55:41,23:55:41,23:55:41,23:55:42,23:55:42,23:55:42,23:55:42,23:55:43,23:55:43,23:55:43,23:55:43,23:55:44,23:55:44,23:55:44,23:55:44,23:55:45,23:55:45,23:55:45,23:55:45,23:55:46,23:55:46,23:55:46,23:55:46,23:55:47,23:55:47,23:55:47,23:55:47,23:55:48,23:55:48,23:55:48,23:55:48,23:55:49,23:55:49,23:55:49,23:55:49,23:55:50,23:55:50,23:55:50,23:55:50,23:55:51,23:55:51,23:55:51,23:55:51,23:55:52,23:55:52,23:55:52,23:55:52,23:55:53,23:55:53,23:55:53,23:55:53,23:55:54,23:55:54,23:55:54,23:55:54,23:55:55,23:55:55,23:55:55,23:55:55,23:55:56,23:55:56,23:55:56,23:55:56,23:55:56,23:55:56,23:55:57,23:55:57,23:55:57,23:55:57,23:55:57,23:55:57,23:55:57,23:55:57,23:55:57,23:55:57,23:55:58,23:55:58,23:55:58,23:55:58,23:55:58,23:55:58,23:55:58
Start_Latitude,41.2637821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stop_Latitude,41.2637821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start_Longitude,28.7308479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stop_Longitude,28.7308479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordID_FL,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordID_LT,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordTag,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordDate,30/06/2022,"June 30, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
