,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
ABSP,998.8790893554688,998.8466796875,998.8790893554688,998.8765258789062,998.8797607421875,998.8483276367188,998.87255859375,998.8642578125,998.8696899414062,998.8809814453125,998.8634033203125,998.8571166992188,998.84326171875,998.8674926757812,998.8815307617188,998.8715209960938,998.876220703125,998.8665161132812,998.8884887695312,998.8803100585938,998.8665161132812,998.8721923828125,998.8502197265625,998.8869018554688,998.8527221679688,998.889404296875,998.8539428710938,998.858642578125,998.868408203125,998.8442993164062,998.8865966796875,998.8668823242188,998.8756103515625,998.8884887695312,998.8621826171875,998.8502197265625,998.8595581054688,998.8790893554688,998.8595581054688,998.8480224609375,998.8690185546875,998.8571166992188,998.8831787109375,998.871826171875,998.8615112304688,998.8703002929688,998.8511352539062,998.8862915039062,998.87841796875,998.8890991210938,998.8828735351562,998.8743286132812,998.85302734375,998.8514404296875,998.8615112304688,998.8652954101562,998.8734130859375,998.8787231445312,998.849609375,998.8455200195312,998.8831787109375,998.86083984375,998.8872680664062,998.8455200195312,998.8662109375,998.8822631835938,998.8834228515625,998.8618774414062,998.8884887695312,998.8818359375,998.87060546875,998.87060546875,998.864990234375,998.8743286132812,998.8771362304688,998.8834228515625,998.854248046875,998.875,998.868408203125,998.8583984375,998.8775634765625,998.8662109375,998.8828735351562,998.876220703125,998.8561401367188,998.8872680664062,998.8681030273438,998.8555297851562,998.8561401367188,998.8427124023438,998.8771362304688,998.8580932617188,998.868408203125,998.8721923828125,998.8818359375,998.8822631835938
Yaw,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Pitch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Roll,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Altitude,-0.0426509187,-0.1509186354,-0.18700787430000002,-0.18700787430000002,-0.18700787430000002,-0.2001312339,-0.2001312339,-0.2099737536,-0.2099737536,-0.22309711320000003,-0.22309711320000003,-0.22309711320000003,-0.2362204728,-0.2362204728,-0.2526246723,-0.2526246723,-0.2526246723,-0.2755905516,-0.2755905516,-0.2821522314,-0.2821522314,-0.2821522314,-0.2657480319,-0.2657480319,-0.2559055122,-0.2559055122,-0.2559055122,-0.2559055122,-0.2559055122,-0.2591863521,-0.2591863521,-0.2591863521,-0.262467192,-0.262467192,-0.22637795310000003,-0.22637795310000003,-0.22637795310000003,-0.0787401576,-0.0787401576,-0.0131233596,-0.0131233596,-0.0131233596,0.032808399,0.032808399,0.0590551182,0.0590551182,0.0590551182,0.08858267730000001,0.08858267730000001,0.11154855660000002,0.11154855660000002,0.11154855660000002,0.1279527561,0.1279527561,0.1509186354,0.1509186354,0.1509186354,0.18700787430000002,0.18700787430000002,0.21653543340000003,0.21653543340000003,0.21653543340000003,0.2329396329,0.2329396329,0.2493438324,0.2493438324,0.2493438324,0.2559055122,0.2559055122,0.2723097117,0.2723097117,0.2723097117,0.3051181107,0.3051181107,0.3149606304,0.3149606304,0.3149606304,0.32152231020000005,0.32152231020000005,0.32808399000000005,0.32808399000000005,0.32808399000000005,0.3379265097,0.3379265097,0.36745406880000003,0.36745406880000003,0.36745406880000003,0.393700788,0.393700788,0.4199475072,0.4199475072,0.4199475072,0.44619422640000006,0.44619422640000006,0.393700788,0.393700788
TAS,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284,0.022061703726649284
GS,0.027600137516856194,0.027623746544122696,0.027370627969503403,0.027370627969503403,0.027370627969503403,0.027324574068188667,0.027324574068188667,0.027435606345534325,0.027435606345534325,0.02769325114786625,0.02769325114786625,0.02769325114786625,0.027443766593933105,0.027443766593933105,0.027481310069561005,0.027481310069561005,0.027481310069561005,0.02754870057106018,0.02754870057106018,0.027779171243309975,0.027779171243309975,0.027779171243309975,0.02764190547168255,0.02764190547168255,0.027651123702526093,0.027651123702526093,0.027651123702526093,0.027744406834244728,0.027744406834244728,0.027889572083950043,0.027889572083950043,0.027889572083950043,0.0275003332644701,0.0275003332644701,0.0274959746748209,0.0274959746748209,0.0274959746748209,0.027514977380633354,0.027514977380633354,0.027636157348752022,0.027636157348752022,0.027636157348752022,0.027437156066298485,0.027437156066298485,0.027458403259515762,0.027458403259515762,0.027458403259515762,0.027584277093410492,0.027584277093410492,0.027753127738833427,0.027753127738833427,0.027753127738833427,0.027498573064804077,0.027498573064804077,0.027413243427872658,0.027413243427872658,0.027413243427872658,0.02755778469145298,0.02755778469145298,0.027737824246287346,0.027737824246287346,0.027737824246287346,0.027506867423653603,0.027506867423653603,0.027446037158370018,0.027446037158370018,0.027446037158370018,0.0275315809994936,0.0275315809994936,0.027780359610915184,0.027780359610915184,0.027780359610915184,0.027477730065584183,0.027477730065584183,0.027390984818339348,0.027390984818339348,0.027390984818339348,0.027504529803991318,0.027504529803991318,0.02741534635424614,0.02741534635424614,0.02741534635424614,0.027326364070177078,0.027326364070177078,0.02731173485517502,0.02731173485517502,0.02731173485517502,0.027445737272500992,0.027445737272500992,0.027535561472177505,0.027535561472177505,0.027535561472177505,0.027232754975557327,0.027232754975557327,0.027245890349149704,0.027245890349149704
Latitude,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821,41.2637821
Longitude,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479,28.7308479
Altitude_MSL,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430,120430
Time,17:58:09,17:58:10,17:58:10,17:58:10,17:58:10,17:58:11,17:58:11,17:58:11,17:58:11,17:58:12,17:58:12,17:58:12,17:58:12,17:58:13,17:58:13,17:58:13,17:58:13,17:58:14,17:58:14,17:58:14,17:58:14,17:58:15,17:58:15,17:58:15,17:58:15,17:58:15,17:58:15,17:58:15,17:58:15,17:58:15,17:58:16,17:58:16,17:58:16,17:58:16,17:58:16,17:58:17,17:58:17,17:58:17,17:58:17,17:58:18,17:58:18,17:58:18,17:58:18,17:58:19,17:58:19,17:58:19,17:58:19,17:58:20,17:58:20,17:58:20,17:58:20,17:58:21,17:58:21,17:58:21,17:58:21,17:58:22,17:58:22,17:58:22,17:58:22,17:58:23,17:58:23,17:58:23,17:58:23,17:58:24,17:58:24,17:58:24,17:58:24,17:58:25,17:58:25,17:58:25,17:58:25,17:58:26,17:58:26,17:58:26,17:58:26,17:58:27,17:58:27,17:58:27,17:58:27,17:58:28,17:58:28,17:58:28,17:58:28,17:58:29,17:58:29,17:58:29,17:58:29,17:58:30,17:58:30,17:58:30,17:58:30,17:58:31,17:58:31,17:58:31,17:58:31,17:58:32
Start_Latitude,41.2637821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stop_Latitude,41.2637821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start_Longitude,28.7308479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stop_Longitude,28.7308479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordID_FL,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordID_LT,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordTag,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecordDate,30/06/2022,"June 30, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
